Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
ak,10559365,2,09/11/2012 03:44:27 AM,2,25.5,12,"Unimak Island region, Alaska","(53.9851, -163.6777)"
ak,10557309,2,09/11/2012 03:39:56 AM,3.1,45,28,Alaska Peninsula,"(56.9882, -155.0915)"
ak,10557302,3,09/11/2012 03:22:02 AM,1.3,2.9,14,Central Alaska,"(62.1704, -148.9496)"
us,c000cl0z,5,09/11/2012 03:21:23 AM,5,22,41,"Yunnan, China","(24.6559, 99.257)"
us,c000cl12,5,09/11/2012 03:20:20 AM,4.6,22.2,35,"Yunnan, China","(24.8083, 99.3799)"
hv,60396391,1,09/11/2012 03:09:49 AM,2.3,3.6,18,"Island of Hawaii, Hawaii","(19.5013, -155.4978)"
ci,37090132,2,09/11/2012 02:56:59 AM,1.1,5.1,26,Southern California,"(33.0665, -116.4502)"
ci,15213865,2,09/11/2012 02:56:44 AM,1.3,5.4,74,Southern California,"(33.0663, -116.454)"
nc,71840625,3,09/11/2012 02:56:05 AM,1.3,3.5,49,Northern California,"(38.8112, -122.7927)"
ak,10559362,2,09/11/2012 02:54:05 AM,2,25.6,13,"Andreanof Islands, Aleutian Islands, Alaska","(51.7909, -175.573)"
ak,10557292,2,09/11/2012 02:52:26 AM,2.1,76,27,"Kodiak Island region, Alaska","(58.9994, -153.1343)"
nc,71840620,4,09/11/2012 02:49:10 AM,2.1,28.5,23,Northern California,"(40.732, -123.4808)"
hv,60396381,1,09/11/2012 02:43:38 AM,1.9,4.3,9,"Island of Hawaii, Hawaii","(19.5025, -155.4893)"
ak,10559360,2,09/11/2012 02:40:11 AM,1.1,82,9,Southern Alaska,"(59.9423, -152.5668)"
nc,71840610,2,09/11/2012 02:27:39 AM,2,11.1,25,Northern California,"(39.5458, -121.9847)"
us,c000cl0b,8,09/11/2012 02:24:12 AM,4.9,22.5,40,off the west coast of northern Sumatra,"(3.721, 92.7056)"
uw,60450282,2,09/11/2012 02:12:02 AM,1.4,4.7,16,offshore Oregon,"(45.2368, -124.0107)"
nc,71840590,2,09/11/2012 01:40:22 AM,1.8,2.8,30,Northern California,"(37.4447, -121.443)"
us,c000ckz7,A,09/11/2012 01:28:19 AM,5.5,14.7,442,Kuril Islands,"(45.2939, 151.1889)"
ak,10559358,2,09/11/2012 01:15:54 AM,1.5,103.1,17,Southern Alaska,"(60.1952, -152.6831)"
pr,12255001,0,09/11/2012 12:48:34 PM,3.5,65,5,Virgin Islands region,"(19.5065, -64.1538)"
pr,12255000,0,09/11/2012 12:39:48 PM,3.4,18,11,Dominican Republic region,"(19.6355, -67.7605)"
nc,71840580,1,09/11/2012 12:34:27 PM,1.1,3.7,24,Northern California,"(38.8255, -122.8028)"
ak,10559357,2,09/11/2012 12:25:56 PM,2,69.2,9,"Fox Islands, Aleutian Islands, Alaska","(52.5499, -167.7046)"
nc,71840560,2,09/10/2012 11:44:36 AM,1.2,8.2,30,"Long Valley area, California","(37.629, -118.964)"
us,c000ckym,5,09/10/2012 11:17:33 AM,4.6,18.3,29,"near the east coast of Honshu, Japan","(36.6557, 141.0148)"
pr,12254006,0,09/10/2012 11:15:15 AM,3.7,58,11,Puerto Rico region,"(19.6595, -67.5856)"
us,c000ckxy,5,09/10/2012 11:14:31 AM,4.8,52.7,40,"Nias region, Indonesia","(0.5221, 98.4566)"
uw,60450252,2,09/10/2012 11:10:11 AM,1.1,0,14,Washington,"(45.6817, -122.3167)"
ak,10557207,2,09/10/2012 11:05:53 AM,1.2,0,8,northern Alaska,"(65.0023, -147.3706)"
ak,10559672,2,09/10/2012 10:58:25 AM,2.6,28.9,6,south of Alaska,"(53.4552, -160.0139)"
ci,15213825,2,09/10/2012 10:55:02 AM,1.2,0,29,Central California,"(36.4647, -117.6132)"
ci,15213817,2,09/10/2012 10:44:17 AM,1,6.1,24,Central California,"(36.0295, -117.492)"
ci,15213801,0,09/10/2012 10:24:12 AM,1.9,24.6,15,Central California,"(36.1398, -118.1422)"
ci,15213785,2,09/10/2012 10:08:52 AM,1.8,10.1,20,"Baja California, Mexico","(32.5228, -115.6438)"
pr,12254005,2,09/10/2012 10:03:31 AM,4.2,17,23,Puerto Rico region,"(19.509, -67.637)"
ak,10557176,2,09/10/2012 10:02:03 AM,1.7,9.4,18,"Kenai Peninsula, Alaska","(59.5271, -151.3076)"
us,c000ckv1,7,09/10/2012 10:00:01 AM,4.5,60.5,77,"near the east coast of the Kamchatka Peninsula, Russia","(51.1778, 157.4283)"
uw,60450217,1,09/10/2012 09:36:46 AM,1.9,22.5,11,Oregon,"(45.9267, -123.8978)"
nc,71840550,7,09/10/2012 09:30:13 AM,2.9,9.3,20,offshore Northern California,"(40.3357, -125.1752)"
ak,10557146,2,09/10/2012 09:18:07 AM,1.4,79.2,22,Central Alaska,"(63.0618, -149.1964)"
ak,10559667,2,09/10/2012 08:37:55 AM,1.9,130.2,14,Alaska Peninsula,"(57.7674, -156.2319)"
nc,71840540,3,09/10/2012 08:30:44 AM,1.6,1.5,52,Northern California,"(38.7923, -122.7462)"
uu,09102005,2,09/10/2012 08:05:44 AM,2.8,2.9,6,Utah,"(38.1375, -109.1062)"
ak,10557116,2,09/10/2012 08:01:15 AM,1.8,8.8,22,Central Alaska,"(63.1029, -150.0266)"
ak,10557112,3,09/10/2012 07:51:24 AM,2.6,13.2,13,"Andreanof Islands, Aleutian Islands, Alaska","(51.944, -177.6529)"
ci,15213705,2,09/10/2012 07:44:19 AM,1.2,10,37,Southern California,"(32.9738, -116.3457)"
ci,15213697,2,09/10/2012 07:37:58 AM,1.3,2,34,Southern California,"(33.2813, -115.7213)"
nc,71840535,2,09/10/2012 07:34:39 AM,1,8.2,12,Northern California,"(37.1288, -121.5305)"
pr,12254004,0,09/10/2012 07:33:40 AM,2.5,24,14,Puerto Rico,"(18.1623, -67.0251)"
ak,10557090,2,09/10/2012 07:27:54 AM,1.7,31.8,20,Southern Alaska,"(61.2164, -149.6856)"
ak,10559662,2,09/10/2012 07:24:24 AM,2.6,11.9,12,Alaska Peninsula,"(54.2524, -162.523)"
us,c000ckjr,4,09/10/2012 07:08:45 AM,4.9,15.4,40,off the west coast of northern Sumatra,"(0.9048, 92.7829)"
uu,09101857,2,09/10/2012 06:57:30 AM,2.2,0.9,12,Utah,"(37.1587, -112.7942)"
uu,09101856,2,09/10/2012 06:56:39 AM,2.4,0.8,18,Utah,"(37.164, -112.7965)"
ak,10557056,2,09/10/2012 06:55:25 AM,2.5,8.5,18,Alaska Peninsula,"(57.1508, -157.6545)"
nc,71840505,2,09/10/2012 05:55:13 AM,1.2,4.9,9,Northern California,"(38.7673, -122.4283)"
nc,71840495,3,09/10/2012 05:45:55 AM,1.3,2.4,48,Northern California,"(38.8395, -122.827)"
ci,15213665,3,09/10/2012 05:24:33 AM,2.1,14.6,112,"Greater Los Angeles area, California","(34.1842, -117.582)"
ci,15213657,2,09/10/2012 05:19:04 AM,1.3,8.6,32,Southern California,"(33.2865, -115.705)"
ak,10555677,2,09/10/2012 05:13:16 AM,2.1,44.4,35,Southern Alaska,"(61.7651, -149.6037)"
ci,15213649,4,09/10/2012 04:46:41 AM,1.9,3.2,51,Southern California,"(33.2848, -115.7177)"
ci,15213641,4,09/10/2012 04:42:34 AM,1.6,2.9,40,Southern California,"(33.2802, -115.716)"
ci,15213625,2,09/10/2012 04:22:16 AM,2.2,3.3,43,Southern California,"(33.2832, -115.711)"
ci,15213609,4,09/10/2012 04:12:04 AM,2,3.4,65,Southern California,"(33.2818, -115.7173)"
ci,37090124,A,09/10/2012 04:04:20 AM,1.2,7.6,11,Southern California,"(33.2905, -115.7007)"
ci,15213601,4,09/10/2012 04:04:03 AM,1.6,2.3,22,Southern California,"(33.2805, -115.7182)"
ci,15213593,4,09/10/2012 04:01:50 AM,2,3.4,42,Southern California,"(33.2802, -115.7165)"
ci,15213577,4,09/10/2012 03:59:15 AM,1.7,3.3,48,Southern California,"(33.2897, -115.7078)"
ci,15213561,2,09/10/2012 03:57:00 AM,2.4,3,80,Southern California,"(33.28, -115.717)"
ci,15213553,4,09/10/2012 03:55:54 AM,2,3.1,57,Southern California,"(33.2818, -115.7173)"
ci,37090116,4,09/10/2012 03:55:12 AM,1.5,3.1,19,Southern California,"(33.2858, -115.7115)"
ci,15213569,6,09/10/2012 03:54:52 AM,1.5,2.5,20,Southern California,"(33.2812, -115.7128)"
ak,10555630,1,09/10/2012 03:53:32 AM,1.6,1.9,6,Southern Alaska,"(60.7714, -141.015)"
ci,15213545,6,09/10/2012 03:52:14 AM,1.8,2.2,32,Southern California,"(33.279, -115.7187)"
ci,37090108,4,09/10/2012 03:51:57 AM,1.3,1.6,26,Southern California,"(33.2858, -115.7203)"
ci,15213521,4,09/10/2012 03:51:28 AM,1.3,3,21,Southern California,"(33.284, -115.7053)"
ci,37089491,2,09/10/2012 03:46:02 AM,2.6,3.5,38,Southern California,"(33.2887, -115.7057)"
ci,37089483,2,09/10/2012 03:45:48 AM,2.6,2.8,35,Southern California,"(33.2825, -115.7137)"
ci,15213465,3,09/10/2012 03:44:42 AM,3.3,3.4,100,Southern California,"(33.2797, -115.7128)"
nc,71840405,2,09/10/2012 03:27:50 AM,1.3,3.7,48,Northern California,"(38.8107, -122.7943)"
ci,15213457,6,09/10/2012 03:26:24 AM,1.8,3.6,62,Southern California,"(33.2865, -115.7085)"
ci,37090100,4,09/10/2012 03:09:54 AM,1,2.5,12,Southern California,"(33.2803, -115.7158)"
ci,37090092,4,09/10/2012 03:09:32 AM,1,2.3,8,Southern California,"(33.2815, -115.7097)"
ci,15213449,4,09/10/2012 03:09:05 AM,1.1,2.3,22,Southern California,"(33.2842, -115.7145)"
hv,60396211,1,09/10/2012 02:53:28 AM,2,0,12,"Island of Hawaii, Hawaii","(19.4133, -155.011)"
ci,15213441,4,09/10/2012 02:52:59 AM,1.5,2.7,33,Southern California,"(33.2825, -115.7137)"
ak,10555615,2,09/10/2012 02:49:33 AM,1.2,9,12,Central Alaska,"(64.6542, -151.1429)"
ak,10555616,3,09/10/2012 02:48:57 AM,2.5,16.3,9,"Rat Islands, Aleutian Islands, Alaska","(51.5833, 177.159)"
ak,10555610,2,09/10/2012 02:43:55 AM,1.4,47,18,Southern Alaska,"(61.441, -150.2849)"
uw,60450052,2,09/10/2012 02:43:12 AM,1.1,8.5,16,Washington,"(48.314, -121.9132)"
us,c000ck8v,8,09/10/2012 02:35:42 AM,5.2,37.7,185,"Andaman Islands, India region","(10.4652, 93.6108)"
nm,091012c,A,09/10/2012 02:17:18 AM,2.1,4.5,25,southeastern Missouri,"(36.5506, -89.8502)"
us,2012fiat,5,09/10/2012 02:03:18 AM,4.6,45.3,56,"southern Xinjiang, China","(39.2629, 74.2109)"
ak,10559655,2,09/10/2012 01:50:48 AM,1.6,24.7,8,Alaska Peninsula,"(55.3082, -158.6164)"
us,2012fias,7,09/10/2012 01:16:25 AM,4.5,62.3,16,"Andaman Islands, India region","(10.4875, 93.5455)"
ak,10555601,2,09/10/2012 01:16:13 AM,1.1,11.6,10,Central Alaska,"(63.1085, -151.4938)"
ak,10555599,2,09/10/2012 01:15:05 AM,1.7,13.9,12,Southern Alaska,"(61.2009, -152.1397)"
ak,10555593,2,09/10/2012 01:03:47 AM,1.9,76,31,Southern Alaska,"(61.3521, -151.3671)"
ci,15213417,2,09/10/2012 01:00:07 AM,1.2,8,21,Southern California,"(33.0145, -115.5358)"
hv,60396081,1,09/10/2012 12:57:06 PM,2.1,0,44,"Island of Hawaii, Hawaii","(19.1962, -155.4497)"
ak,10555586,2,09/10/2012 12:51:54 PM,1.2,29.2,14,Southern Alaska,"(61.4045, -147.7925)"
ak,10555582,2,09/10/2012 12:40:27 PM,1.5,4,24,Southern Alaska,"(60.9679, -146.497)"
uw,60450042,2,09/10/2012 12:16:33 PM,1.2,17.4,15,Washington,"(47.5905, -121.697)"
ci,15213409,2,09/10/2012 12:10:54 PM,1.3,13.1,16,"Baja California, Mexico","(32.5785, -115.6712)"
ak,10555575,2,09/10/2012 12:00:53 PM,1.6,1.9,16,Southern Alaska,"(61.296, -152.4164)"
ak,10555576,2,09/10/2012 11:58:10 AM,1.2,11.7,7,"Fox Islands, Aleutian Islands, Alaska","(54.003, -166.2828)"
ci,15213401,2,09/10/2012 11:54:06 AM,1.8,11.6,41,Southern California,"(33.019, -115.5413)"
us,c000ck6t,8,09/10/2012 11:31:16 AM,4.8,25,186,offshore El Salvador,"(12.3469, -88.63)"
us,c000ck6q,6,09/10/2012 11:23:29 AM,5.1,42.4,68,"Kepulauan Talaud, Indonesia","(3.9931, 126.1887)"
ak,10555566,2,09/10/2012 11:15:55 AM,1.3,9.9,15,Southern Alaska,"(61.9727, -150.1445)"
ak,10559644,2,09/10/2012 11:09:43 AM,3.2,19.7,11,"Rat Islands, Aleutian Islands, Alaska","(50.6505, 175.9235)"
nc,71840325,3,09/10/2012 11:08:56 AM,1.5,2.7,49,Northern California,"(38.8303, -122.807)"
ak,10559643,2,09/10/2012 11:05:14 AM,2.2,39.3,6,"Fox Islands, Aleutian Islands, Alaska","(53.0706, -169.7998)"
ak,10555562,2,09/10/2012 10:51:40 AM,1,32.2,7,Southern Alaska,"(61.1305, -149.2969)"
us,c000ck69,6,09/10/2012 10:43:54 AM,4.6,30,62,"Hokkaido, Japan region","(41.7327, 143.6911)"
uw,60450032,3,09/10/2012 10:10:56 AM,2.3,1.3,16,"British Columbia, Canada","(49.0968, -121.1168)"
ak,10559639,2,09/10/2012 10:09:52 AM,1.4,117.5,12,Southern Alaska,"(61.9938, -152.3044)"
ak,10555548,2,09/10/2012 09:38:28 AM,1.3,4.5,16,Central Alaska,"(62.349, -149.0976)"
ci,15213377,2,09/10/2012 09:26:13 AM,1.4,9.1,37,Southern California,"(33.0007, -115.5578)"
ci,15213369,2,09/10/2012 09:23:49 AM,2,12.6,61,Southern California,"(33.005, -115.5613)"
ci,15213353,0,09/10/2012 09:10:16 AM,1,14.9,43,Southern California,"(33.5978, -116.8172)"
us,c000ck59,5,09/10/2012 09:08:39 AM,4.1,48.7,42,"Fox Islands, Aleutian Islands, Alaska","(51.8959, -171.0457)"
ak,10555534,2,09/10/2012 09:06:14 AM,1.1,19.4,9,Central Alaska,"(62.0451, -147.7429)"
ak,10555530,2,09/10/2012 08:27:05 AM,1.3,37.6,14,Southern Alaska,"(61.5907, -146.3013)"
ak,10559633,2,09/10/2012 08:10:37 AM,2.1,69.8,13,"Unimak Island region, Alaska","(54.3133, -163.6839)"
ci,15213337,2,09/10/2012 08:05:22 AM,1.2,10.7,38,Southern California,"(32.976, -116.3535)"
us,c000ck4g,8,09/10/2012 07:51:09 AM,4.7,143.5,52,Banda Sea,"(-6.5615, 129.7199)"
ak,10559632,2,09/10/2012 07:43:19 AM,1.4,89.9,8,Southern Alaska,"(59.7396, -152.7213)"
ak,10555524,2,09/10/2012 07:21:51 AM,1.3,59,15,Central Alaska,"(62.4875, -149.3648)"
ak,10555519,2,09/10/2012 06:40:14 AM,2.8,43.1,19,Alaska Peninsula,"(54.5724, -162.171)"
us,c000ck40,7,09/10/2012 06:23:51 AM,3.2,0,0,near the southeast coast of Australia,"(-33.487, 151.95)"
us,c000ck3s,9,09/10/2012 06:19:19 AM,4.9,24,123,"Andaman Islands, India region","(13.6851, 92.8365)"
ak,10559628,2,09/10/2012 06:06:52 AM,2.1,65.2,10,"Kodiak Island region, Alaska","(57.7508, -154.6558)"
ak,10555512,2,09/10/2012 06:01:49 AM,1.5,53.9,24,Central Alaska,"(62.1177, -149.7402)"
ci,15213321,2,09/10/2012 05:58:27 AM,1.3,18.7,39,Southern California,"(33.6807, -116.7002)"
us,c000ck3g,A,09/10/2012 05:41:51 AM,4.7,31.9,63,"Ryukyu Islands, Japan","(24.1631, 126.1907)"
ak,10555507,2,09/10/2012 05:31:54 AM,2,66.8,42,Central Alaska,"(62.6413, -149.2031)"
nc,71840290,1,09/10/2012 05:15:58 AM,1,3.1,23,Northern California,"(38.815, -122.8135)"
ak,10559625,2,09/10/2012 05:09:41 AM,2.5,4.9,12,"Rat Islands, Aleutian Islands, Alaska","(50.3453, 179.1746)"
pr,12254001,0,09/10/2012 05:08:59 AM,3.3,33,14,Virgin Islands region,"(19.6842, -64.1605)"
nn,00388209,9,09/10/2012 05:06:46 AM,1.2,7.5,22,Nevada,"(36.7257, -116.3097)"
pr,12254003,0,09/10/2012 05:03:23 AM,2.8,13,8,Puerto Rico region,"(17.937, -66.0597)"
ci,15213297,1,09/10/2012 04:54:13 AM,2.5,4.5,67,Central California,"(35.3752, -118.541)"
ci,15213289,2,09/10/2012 04:51:36 AM,1.8,9.2,67,Southern California,"(33.2463, -116.2482)"
ak,10555495,2,09/10/2012 04:44:37 AM,1.5,89.3,24,Central Alaska,"(62.8567, -150.5602)"
ak,10555492,3,09/10/2012 04:33:49 AM,2,54.1,14,"Kodiak Island region, Alaska","(58.3877, -152.8163)"
pr,12254002,0,09/10/2012 04:33:38 AM,3.2,41,7,Virgin Islands region,"(19.6723, -64.3862)"
us,c000ck2s,4,09/10/2012 04:32:39 AM,4.6,178.4,17,"Halmahera, Indonesia","(2.9517, 128.4396)"
nc,71840275,2,09/10/2012 04:21:50 AM,1.3,6.7,38,Central California,"(36.0552, -120.6093)"
ak,10555486,2,09/10/2012 03:56:21 AM,1.2,3.5,11,Central Alaska,"(64.6413, -146.8954)"
ci,15213273,4,09/10/2012 03:51:57 AM,1.4,9,42,"Greater Los Angeles area, California","(34.132, -117.7235)"
nc,71840255,3,09/10/2012 03:33:35 AM,1.9,2.6,65,Northern California,"(38.8097, -122.7375)"
pr,12254000,0,09/10/2012 03:28:03 AM,3.3,59,13,Virgin Islands region,"(19.6539, -64.2527)"
ak,10555477,2,09/10/2012 03:14:11 AM,1.6,15,13,"Kenai Peninsula, Alaska","(60.8968, -150.8036)"
nc,71840245,3,09/10/2012 02:51:45 AM,2.4,9.4,103,Central California,"(36.1168, -120.0328)"
ak,10559617,2,09/10/2012 02:38:14 AM,1.9,108.6,9,"Fox Islands, Aleutian Islands, Alaska","(54.0836, -165.8694)"
nc,71840230,2,09/10/2012 02:29:10 AM,1,7.4,31,Central California,"(36.8417, -121.2858)"
nc,71840225,2,09/10/2012 02:27:27 AM,1,7.4,23,"San Francisco Bay area, California","(37.752, -122.12)"
ci,15213249,3,09/10/2012 02:23:17 AM,2.6,7.7,20,"Baja California, Mexico","(32.1807, -115.225)"
us,c000ck1k,4,09/10/2012 02:14:04 AM,4.5,122.9,21,"Tarapaca, Chile","(-20.3696, -68.9677)"
nc,71840215,2,09/10/2012 02:06:29 AM,1.8,7,41,Central California,"(36.1637, -119.9983)"
ak,10555462,2,09/10/2012 01:57:56 AM,2,118.2,24,Central Alaska,"(63.1831, -150.6964)"
ci,15213233,2,09/10/2012 01:49:08 AM,1.6,5.5,19,Southern California,"(33.228, -115.5732)"
nc,71840205,0,09/10/2012 01:40:19 AM,1,2.3,11,Northern California,"(38.8408, -122.789)"
nc,71840200,0,09/10/2012 01:31:57 AM,1.2,2.5,18,Northern California,"(38.8105, -122.7437)"
ak,10559614,2,09/10/2012 01:29:48 AM,1.4,73,20,Central Alaska,"(62.3518, -150.9831)"
nc,71840190,3,09/10/2012 12:43:19 PM,2,2.8,62,Northern California,"(38.817, -122.819)"
us,c000ck0a,7,09/10/2012 12:38:25 PM,4.8,10,45,"south of Bali, Indonesia","(-10.6903, 114.0061)"
ci,15213209,2,09/10/2012 12:38:04 PM,1.5,5.3,17,Southern California,"(33.2352, -115.5722)"
ak,10555448,2,09/10/2012 12:36:40 PM,1.6,119.4,27,Central Alaska,"(62.954, -151.013)"
ci,15213201,2,09/10/2012 12:32:58 PM,1.4,5.3,26,Southern California,"(33.475, -116.9135)"
uw,60449977,2,09/10/2012 12:32:03 PM,1.9,10,22,"British Columbia, Canada","(49.1088, -121.1303)"
ci,15213193,2,09/10/2012 12:31:29 PM,1.1,6.7,15,Southern California,"(33.2325, -115.5628)"
ak,10559612,2,09/10/2012 12:28:10 PM,1.6,87.9,15,Southern Alaska,"(60.0036, -152.1609)"
nc,71840195,2,09/10/2012 12:23:39 PM,1,3.7,7,Central California,"(36.0793, -120.6203)"
ci,15213185,4,09/10/2012 12:21:12 PM,1.6,5,9,Nevada,"(36.22, -115.548)"
nm,091012a,A,09/10/2012 12:12:14 PM,2.3,5.2,25,southeastern Missouri,"(36.6588, -89.5455)"
us,c000cjyi,6,09/10/2012 12:04:44 PM,4.8,250.7,60,Fiji region,"(-20.3697, -176.533)"
nc,71840180,2,09/09/2012 11:57:50 AM,1.1,2.7,44,Northern California,"(38.7807, -122.7183)"
ak,10555438,2,09/09/2012 11:50:32 AM,1.7,27.9,18,"Andreanof Islands, Aleutian Islands, Alaska","(51.2307, -177.882)"
uu,09092342,2,09/09/2012 11:42:15 AM,1,4.1,13,Utah,"(37.7593, -113.183)"
ci,15213177,2,09/09/2012 11:41:51 AM,2.1,5,35,Central California,"(35.3768, -118.5505)"
ak,10555431,1,09/09/2012 11:40:17 AM,2.6,142.7,30,Southern Alaska,"(61.3644, -152.6996)"
ci,15213161,2,09/09/2012 11:21:14 AM,2.4,3.7,39,Central California,"(35.3793, -118.5425)"
ci,15213137,2,09/09/2012 11:19:30 AM,2,4.2,37,Central California,"(35.3753, -118.5452)"
pr,12253004,0,09/09/2012 10:35:06 AM,3,36,9,Virgin Islands region,"(19.0088, -64.5388)"
nc,71840150,2,09/09/2012 10:31:28 AM,1.5,12,18,Central California,"(37.354, -118.6288)"
nc,71840145,2,09/09/2012 10:13:32 AM,2.5,21.9,27,Northern California,"(40.577, -124.3137)"
ci,15213105,3,09/09/2012 10:09:41 AM,2.4,4.3,77,Central California,"(35.3742, -118.537)"
nc,71840130,2,09/09/2012 10:06:48 AM,1.1,6.3,21,Central California,"(35.6667, -121.0522)"
pr,12253005,0,09/09/2012 09:57:18 AM,3.3,48,9,Virgin Islands region,"(19.6744, -64.2358)"
nc,71840125,2,09/09/2012 09:45:44 AM,1.1,2.9,26,Central California,"(36.716, -121.3608)"
ak,10555407,1,09/09/2012 09:44:01 AM,1.5,4.5,9,Central Alaska,"(63.5222, -147.4258)"
ak,10555404,1,09/09/2012 09:41:11 AM,3.4,27.5,18,Alaska Peninsula,"(56.5908, -155.4372)"
us,c000cjrb,4,09/09/2012 09:37:36 AM,4.3,24.9,30,Costa Rica,"(9.795, -84.8489)"
ak,10555400,1,09/09/2012 09:31:40 AM,1.1,37.5,4,Central Alaska,"(63.109, -151.5369)"
us,c000cjp5,5,09/09/2012 09:29:50 AM,4.8,166.6,22,"Catamarca, Argentina","(-27.47, -67.2825)"
ak,10555393,1,09/09/2012 09:23:07 AM,2.4,23,27,Southern Alaska,"(60.7003, -146.767)"
ak,10555390,1,09/09/2012 09:16:20 AM,1.7,24.3,14,Southern Alaska,"(60.7803, -146.6601)"
us,c000cjn8,6,09/09/2012 09:06:10 AM,4.5,150.8,25,"Kepulauan Barat Daya, Indonesia","(-7.3283, 128.6)"
ci,15213089,2,09/09/2012 08:45:31 AM,1,7,18,Central California,"(36.001, -118.4008)"
hv,60395646,1,09/09/2012 08:11:06 AM,1.7,4,13,"Island of Hawaii, Hawaii","(19.3715, -155.2335)"
us,c000cjlj,5,09/09/2012 07:30:21 AM,4.2,13.6,26,Aegean Sea,"(40.004, 24.802)"
ak,10555357,1,09/09/2012 07:28:08 AM,2.2,30,11,Southern Alaska,"(61.4841, -147.8029)"
nc,71840090,3,09/09/2012 07:27:22 AM,1.9,6.2,66,Central California,"(36.7998, -121.5377)"
us,c000cjlh,8,09/09/2012 07:23:51 AM,5.3,120.6,431,"Near Islands, Aleutian Islands, Alaska","(52.8187, 174.9362)"
ak,10555348,1,09/09/2012 07:22:34 AM,1.2,14.4,8,Central Alaska,"(64.5832, -147.9445)"
us,c000cjl2,5,09/09/2012 06:59:39 AM,4.7,15.2,75,"offshore Oaxaca, Mexico","(16.0949, -98.097)"
pr,12253003,0,09/09/2012 06:56:22 AM,3.3,66,4,Virgin Islands region,"(19.4538, -64.305)"
ci,15213073,2,09/09/2012 06:50:48 AM,1.2,5.1,15,Southern California,"(33.118, -115.6935)"
ak,10555339,1,09/09/2012 06:36:22 AM,2.8,136.1,28,Southern Alaska,"(59.9171, -153.7825)"
ci,15213065,2,09/09/2012 06:03:09 AM,1.2,6.8,10,"Greater Los Angeles area, California","(34.412, -118.6173)"
ci,15213041,3,09/09/2012 05:59:41 AM,1.2,3.1,17,Central California,"(36.0508, -117.6107)"
ci,15213033,2,09/09/2012 05:58:56 AM,1.5,1.4,18,Southern California,"(33.22, -115.5763)"
ak,10555334,1,09/09/2012 05:56:45 AM,1.3,0,7,Central Alaska,"(63.5181, -151.797)"
nc,71840080,0,09/09/2012 05:09:39 AM,1.6,1.1,20,Northern California,"(38.7725, -122.7398)"
ak,10555311,1,09/09/2012 04:58:58 AM,1.9,7.6,12,Central Alaska,"(63.5247, -151.3133)"
us,2012fhay,7,09/09/2012 04:49:20 AM,4.7,49.5,42,"Papua, Indonesia","(-3.1673, 135.0364)"
ci,15213025,2,09/09/2012 04:41:59 AM,1.1,7,23,Central California,"(36.0037, -118.3975)"
pr,12253002,0,09/09/2012 04:31:18 AM,2.8,31,7,Puerto Rico region,"(19.1046, -66.7847)"
us,2012fhax,4,09/09/2012 03:56:56 AM,4.3,119.7,15,"Tarapaca, Chile","(-21.0041, -68.7629)"
nc,71840060,3,09/09/2012 03:46:31 AM,1.3,2.3,55,Northern California,"(38.8293, -122.8542)"
us,2012fhaw,5,09/09/2012 03:21:22 AM,4.1,109.9,22,"Hindu Kush region, Afghanistan","(36.1973, 70.6106)"
us,c000cjjc,A,09/09/2012 02:36:36 AM,5,56.9,115,"Kermadec Islands, New Zealand","(-30.3778, -177.9588)"
nc,71840035,0,09/09/2012 01:52:18 AM,1.4,0.4,17,Northern California,"(38.7995, -122.7872)"
ci,15213009,2,09/09/2012 01:49:58 AM,2.2,8.9,62,Central California,"(35.8363, -117.5438)"
ci,15213017,2,09/09/2012 01:48:55 AM,1,2.2,19,Central California,"(36.0227, -117.765)"
nc,71840015,0,09/09/2012 01:48:14 AM,1.2,0.2,14,Northern California,"(38.8005, -122.7865)"
nc,71839995,5,09/09/2012 01:27:29 AM,2.5,25.1,37,Central California,"(36.6282, -119.2142)"
nc,71839990,1,09/09/2012 01:23:39 AM,1.6,0.8,25,Northern California,"(38.7917, -122.7465)"
ak,10555283,1,09/09/2012 01:04:27 AM,1.7,24.6,10,Southern Alaska,"(61.5742, -150.0329)"
ak,10555327,2,09/09/2012 12:39:39 PM,1.5,6.9,22,"Fox Islands, Aleutian Islands, Alaska","(53.9876, -166.2641)"
uu,09091210,2,09/09/2012 12:09:12 PM,1.3,14.3,15,Utah,"(37.0348, -112.8183)"
ak,10555266,1,09/09/2012 11:53:53 AM,2.4,8.9,24,Central Alaska,"(63.2322, -144.9265)"
ak,10555259,1,09/09/2012 11:32:10 AM,1,15.9,8,Central Alaska,"(64.7269, -149.1054)"
us,c000cjht,7,09/09/2012 11:27:28 AM,4.5,37.1,49,"near the north coast of New Guinea, Papua New Guinea","(-3.6521, 144.3543)"
ci,15212977,2,09/09/2012 11:22:00 AM,1.2,8.6,51,Southern California,"(34.31, -116.4478)"
us,c000cjhl,5,09/09/2012 11:08:43 AM,4.5,35,82,offshore El Salvador,"(12.5597, -88.8685)"
ak,10555247,1,09/09/2012 10:44:37 AM,1.7,119.6,18,Central Alaska,"(62.9201, -151.1846)"
uw,60449827,2,09/09/2012 10:30:30 AM,1.1,16.2,25,"San Juan Islands region, Washington","(48.5218, -122.5883)"
ak,10555243,1,09/09/2012 10:29:11 AM,1.4,27.9,9,Southern Alaska,"(60.1779, -141.2723)"
